ticker,name,sector,market,index_
BKNG,Booking Holdings,Consumer Discretionary,US,S&P500
BSX,Boston Scientific,Health Care,US,S&P500
BMY,Bristol Myers Squibb,Health Care,US,S&P500
AVGO,Broadcom,Information Technology,US,S&P500
BR,Broadridge Financial Solutions,Industrials,US,S&P500
BRO,Brown & Brown,Financials,US,S&P500
BF-B,Brown–Forman,Consumer Staples,US,S&P500
BLDR,Builders FirstSource,Industrials,US,S&P500
BG,Bunge Global,Consumer Staples,US,S&P500
BXP,"BXP, Inc.",Real Estate,US,S&P500
CHRW,C.H. Robinson,Industrials,US,S&P500
CDNS,Cadence Design Systems,Information Technology,US,S&P500
CPT,Camden Property Trust,Real Estate,US,S&P500
CPB,Campbell's Company (The),Consumer Staples,US,S&P500
COF,Capital One,Financials,US,S&P500
CAH,Cardinal Health,Health Care,US,S&P500
CCL,Carnival Corporation,Consumer Discretionary,US,S&P500
CARR,Carrier Global,Industrials,US,S&P500
CVNA,Carvana,Consumer Discretionary,US,S&P500
CASY,Casey's,Consumer Staples,US,S&P500
CAT,Caterpillar Inc.,Industrials,US,S&P500
CBOE,Cboe Global Markets,Financials,US,S&P500
CBRE,CBRE Group,Real Estate,US,S&P500
CDW,CDW Corporation,Information Technology,US,S&P500
COR,Cencora,Health Care,US,S&P500
CNC,Centene Corporation,Health Care,US,S&P500
CNP,CenterPoint Energy,Utilities,US,S&P500
CF,CF Industries,Materials,US,S&P500
CRL,Charles River Laboratories,Health Care,US,S&P500
SCHW,Charles Schwab Corporation,Financials,US,S&P500
CHTR,Charter Communications,Communication Services,US,S&P500
CVX,Chevron Corporation,Energy,US,S&P500
CMG,Chipotle Mexican Grill,Consumer Discretionary,US,S&P500
CB,Chubb Limited,Financials,US,S&P500
CHD,Church & Dwight,Consumer Staples,US,S&P500
CIEN,Ciena,Information Technology,US,S&P500
CI,Cigna,Health Care,US,S&P500
CINF,Cincinnati Financial,Financials,US,S&P500
CTAS,Cintas,Industrials,US,S&P500
CSCO,Cisco,Information Technology,US,S&P500
C,Citigroup,Financials,US,S&P500
CFG,Citizens Financial Group,Financials,US,S&P500
CLX,Clorox,Consumer Staples,US,S&P500
CME,CME Group,Financials,US,S&P500
CMS,CMS Energy,Utilities,US,S&P500
KO,Coca-Cola Company (The),Consumer Staples,US,S&P500
CTSH,Cognizant,Information Technology,US,S&P500
COHR,Coherent Corp.,Information Technology,US,S&P500
COIN,Coinbase,Financials,US,S&P500
CL,Colgate-Palmolive,Consumer Staples,US,S&P500
CMCSA,Comcast,Communication Services,US,S&P500
FIX,Comfort Systems USA,Industrials,US,S&P500
CAG,Conagra Brands,Consumer Staples,US,S&P500
COP,ConocoPhillips,Energy,US,S&P500
ED,Consolidated Edison,Utilities,US,S&P500
STZ,Constellation Brands,Consumer Staples,US,S&P500
CEG,Constellation Energy,Utilities,US,S&P500
COO,Cooper Companies (The),Health Care,US,S&P500
CPRT,Copart,Industrials,US,S&P500
GLW,Corning Inc.,Information Technology,US,S&P500
CPAY,Corpay,Financials,US,S&P500
CTVA,Corteva,Materials,US,S&P500
CSGP,CoStar Group,Real Estate,US,S&P500
COST,Costco,Consumer Staples,US,S&P500
CRH,CRH plc,Materials,US,S&P500
CRWD,CrowdStrike,Information Technology,US,S&P500
CCI,Crown Castle,Real Estate,US,S&P500
CSX,CSX Corporation,Industrials,US,S&P500
CMI,Cummins,Industrials,US,S&P500
CVS,CVS Health,Health Care,US,S&P500
DHR,Danaher Corporation,Health Care,US,S&P500
DRI,Darden Restaurants,Consumer Discretionary,US,S&P500
DDOG,Datadog,Information Technology,US,S&P500
DVA,DaVita,Health Care,US,S&P500
DECK,Deckers Brands,Consumer Discretionary,US,S&P500
DE,Deere & Company,Industrials,US,S&P500
DELL,Dell Technologies,Information Technology,US,S&P500
DAL,Delta Air Lines,Industrials,US,S&P500
DVN,Devon Energy,Energy,US,S&P500
DXCM,Dexcom,Health Care,US,S&P500
FANG,Diamondback Energy,Energy,US,S&P500
DLR,Digital Realty,Real Estate,US,S&P500
DG,Dollar General,Consumer Staples,US,S&P500
DLTR,Dollar Tree,Consumer Staples,US,S&P500
D,Dominion Energy,Utilities,US,S&P500
DPZ,Domino's,Consumer Discretionary,US,S&P500
DASH,DoorDash,Consumer Discretionary,US,S&P500
DOV,Dover Corporation,Industrials,US,S&P500
DOW,Dow Inc.,Materials,US,S&P500
DHI,D. R. Horton,Consumer Discretionary,US,S&P500
DTE,DTE Energy,Utilities,US,S&P500
DUK,Duke Energy,Utilities,US,S&P500
DD,DuPont,Materials,US,S&P500
ETN,Eaton Corporation,Industrials,US,S&P500
EBAY,eBay Inc.,Consumer Discretionary,US,S&P500
SATS,EchoStar,Communication Services,US,S&P500
ECL,Ecolab,Materials,US,S&P500
EIX,Edison International,Utilities,US,S&P500
EW,Edwards Lifesciences,Health Care,US,S&P500
EA,Electronic Arts,Communication Services,US,S&P500
ELV,Elevance Health,Health Care,US,S&P500
EME,Emcor,Industrials,US,S&P500
EMR,Emerson Electric,Industrials,US,S&P500
ETR,Entergy,Utilities,US,S&P500
EOG,EOG Resources,Energy,US,S&P500
EQT,EQT Corporation,Energy,US,S&P500
EFX,Equifax,Industrials,US,S&P500
EQIX,Equinix,Real Estate,US,S&P500
EQR,Equity Residential,Real Estate,US,S&P500
ERIE,Erie Indemnity,Financials,US,S&P500
ESS,Essex Property Trust,Real Estate,US,S&P500
EL,Estée Lauder Companies (The),Consumer Staples,US,S&P500
EG,Everest Group,Financials,US,S&P500
EVRG,Evergy,Utilities,US,S&P500
ES,Eversource Energy,Utilities,US,S&P500
EXC,Exelon,Utilities,US,S&P500
EXE,Expand Energy,Energy,US,S&P500
EXPE,Expedia Group,Consumer Discretionary,US,S&P500
EXPD,Expeditors International,Industrials,US,S&P500
EXR,Extra Space Storage,Real Estate,US,S&P500
XOM,ExxonMobil,Energy,US,S&P500
FFIV,"F5, Inc.",Information Technology,US,S&P500
FDS,FactSet,Financials,US,S&P500
FICO,Fair Isaac,Information Technology,US,S&P500
FAST,Fastenal,Industrials,US,S&P500
FRT,Federal Realty Investment Trust,Real Estate,US,S&P500
FDX,FedEx,Industrials,US,S&P500
FDXF,FedEx Freight,Industrials,US,S&P500
FIS,Fidelity National Information Services,Financials,US,S&P500
FITB,Fifth Third Bancorp,Financials,US,S&P500
FSLR,First Solar,Information Technology,US,S&P500
FE,FirstEnergy,Utilities,US,S&P500
FISV,Fiserv,Financials,US,S&P500
F,Ford Motor Company,Consumer Discretionary,US,S&P500
FTNT,Fortinet,Information Technology,US,S&P500
FTV,Fortive,Industrials,US,S&P500
FOXA,Fox Corporation (Class A),Communication Services,US,S&P500
FOX,Fox Corporation (Class B),Communication Services,US,S&P500
BEN,Franklin Resources,Financials,US,S&P500
FCX,Freeport-McMoRan,Materials,US,S&P500
GRMN,Garmin,Consumer Discretionary,US,S&P500
IT,Gartner,Information Technology,US,S&P500
GE,GE Aerospace,Industrials,US,S&P500
GEHC,GE HealthCare,Health Care,US,S&P500
GEV,GE Vernova,Industrials,US,S&P500
GEN,Gen Digital,Information Technology,US,S&P500
GNRC,Generac,Industrials,US,S&P500
GD,General Dynamics,Industrials,US,S&P500
GIS,General Mills,Consumer Staples,US,S&P500
GM,General Motors,Consumer Discretionary,US,S&P500
GPC,Genuine Parts Company,Consumer Discretionary,US,S&P500
GILD,Gilead Sciences,Health Care,US,S&P500
GPN,Global Payments,Financials,US,S&P500
GL,Globe Life,Financials,US,S&P500
GDDY,GoDaddy,Information Technology,US,S&P500
GS,Goldman Sachs,Financials,US,S&P500
HAL,Halliburton,Energy,US,S&P500
HIG,Hartford (The),Financials,US,S&P500
HAS,Hasbro,Consumer Discretionary,US,S&P500
HCA,HCA Healthcare,Health Care,US,S&P500
DOC,Healthpeak Properties,Real Estate,US,S&P500
HSIC,Henry Schein,Health Care,US,S&P500
HSY,Hershey Company (The),Consumer Staples,US,S&P500
HPE,Hewlett Packard Enterprise,Information Technology,US,S&P500
HLT,Hilton Worldwide,Consumer Discretionary,US,S&P500
HD,Home Depot (The),Consumer Discretionary,US,S&P500
HON,Honeywell,Industrials,US,S&P500
HRL,Hormel Foods,Consumer Staples,US,S&P500
HST,Host Hotels & Resorts,Real Estate,US,S&P500
HWM,Howmet Aerospace,Industrials,US,S&P500
HPQ,HP Inc.,Information Technology,US,S&P500
HUBB,Hubbell Incorporated,Industrials,US,S&P500
HUM,Humana,Health Care,US,S&P500
HBAN,Huntington Bancshares,Financials,US,S&P500
HII,Huntington Ingalls Industries,Industrials,US,S&P500
IBM,IBM,Information Technology,US,S&P500
IEX,IDEX Corporation,Industrials,US,S&P500
IDXX,Idexx Laboratories,Health Care,US,S&P500
